X(mm),Y(mm)
100,0
99.671739,0.02618
98.688171,0.116145
97.061373,0.29248
94.821539,0.57653
92.013789,0.983488
88.694558,1.519721
84.927783,2.182185
80.781377,2.958546
76.324413,3.828919
71.624923,4.767259
66.748558,5.743803
61.757659,6.726468
56.710933,7.682984
51.663236,8.581784
46.665653,9.39351
41.765533,10.091412
37.006588,10.652253
32.428968,11.056462
28.069238,11.288504
23.960477,11.337099
20.132236,11.194796
16.610759,10.858824
13.420133,10.326333
10.570634,9.595774
8.066828,8.681124
5.913804,7.595355
4.095749,6.36129
2.601746,5.031007
1.438281,3.659414
0.613297,2.298118
0.132065,1.004156
0.003458,-0.150357
0.044437,-0.516696
0.115518,-0.792945
0.183922,-0.958715
0.273019,-1.103519
0.393383,-1.231574
0.547787,-1.353022
0.830711,-1.527031
1.169516,-1.692624
2.553345,-2.16001
4.525912,-2.5537
6.987889,-2.812601
9.930219,-2.925508
13.338855,-2.895226
17.194058,-2.725099
21.486007,-2.430234
26.186205,-2.05641
31.231695,-1.64271
36.554948,-1.213063
42.085158,-0.789148
47.748726,-0.388021
53.470358,-0.025134
59.173718,0.287112
64.78248,0.537552
70.221046,0.715843
75.410083,0.810213
80.263864,0.817586
84.700161,0.749288
88.64974,0.62756
92.058677,0.477865
94.887723,0.325171
97.110442,0.189852
98.71023,0.086222
99.676409,0.02185
100,0
